FECHAyHORA,FECHA,HORA,LINEA,MOTIVO,DURACION_(MINUTOS)
31/12/2019 20:12,31/12/2019,20:12:05,B,Servicio con demora debido a una causa tEcnica.,05
27/12/2019 21:32,27/12/2019,21:32:08,B,Servicio con demora,05
27/12/2019 21:14,27/12/2019,21:14:08,B,Servicio limitado entre las estaciones Leandro N. Alem y Los Incas,13
27/12/2019 00:42,27/12/2019,00:42:08,B,Servicio con demora debido a una causa tEcnica.,53
23/12/2019 22:30,23/12/2019,22:30:14,B,Servicio con demora por una formacion detenida debido a una causa t�cnica.,27
23/12/2019 14:44,23/12/2019,14:44:10,B,Servicio con demora debido a la atenci�n m�dica a un usuario a bordo de formaci�n,00
20/12/2019 13:38,20/12/2019,13:38:02,B,Servicio con demora por una formaci�n detenida debido a una causa t�cnica.,06
18/12/2019 17:08,18/12/2019,17:08:10,B,Servicio con demora,13
18/12/2019 16:44,18/12/2019,16:44:11,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,15
15/12/2019 18:26,15/12/2019,18:26:02,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,14
6/12/2019 22:34,06/12/2019,22:34:02,B,Servicio con demora,14
6/12/2019 22:24,06/12/2019,22:24:07,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,05
5/12/2019 18:02,05/12/2019,18:02:02,B,Servicio con demora,02
5/12/2019 17:38,05/12/2019,17:38:04,B,Servicio limitado: Alem - A. Gallardo y Dorrego - J.M. Rosas,19
3/12/2019 21:04,03/12/2019,21:04:01,B,Servicio limitado entre las estaciones Leandro N. Alem y Federico Lacroze,04
2/12/2019 21:44,02/12/2019,21:44:04,B,Servicio con demora debido a una causa t�cnica.,32
29/11/2019 08:36,29/11/2019,08:36:14,B,Servicio interrumpido por medida de fuerza gremial,443
28/11/2019 20:06,28/11/2019,20:06:12,B,Servicio con demora debido a una causa t�cnica.,12
23/11/2019 21:26,23/11/2019,21:26:12,B,Los trenes no se detienen en la estaci�n A. Gallardo con destino a J.M. Rosas,06
23/11/2019 21:12,23/11/2019,21:12:16,B,Los trenes no se detienen en las estaci�n Ang�l Gallardo con destino a J. M. Rosas,11
23/11/2019 20:06,23/11/2019,20:06:08,B,Servicio interrumpido,52
20/11/2019 13:44,20/11/2019,13:44:04,B,Servicio con demora por una formaci�n detenida debido a una causa t�cnica.,14
20/11/2019 08:32,20/11/2019,08:32:05,B,Servicio interrumpido por medida de fuerza gremial,178
14/11/2019 21:28,14/11/2019,21:28:07,B,Servicio con demora por una formaci�n detenida debido a una causa t�cnica.,35
14/11/2019 19:52,14/11/2019,19:52:07,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,14
12/11/2019 22:24,12/11/2019,22:24:04,B,Servicio con demora por una formaci�n detenida debido a una causa t�cnica.,96
11/11/2019 16:10,11/11/2019,16:10:11,B,Servicio con demora por una formaci�n detenida debido a una causa t�cnica.,08
8/11/2019 12:42,08/11/2019,12:42:14,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Carlos Pellegrini,53
7/11/2019 19:50,07/11/2019,19:50:19,B,Servicio con demora debido a una causa t�cnica.,11
5/11/2019 19:16,05/11/2019,19:16:13,B,Servicio con demora por una formaci�n detenida debido a una causa t�cnica.,32
4/11/2019 21:52,04/11/2019,21:52:13,B,Servicio con demora por una formaci�n detenida debido a una causa t�cnica.,29
4/11/2019 14:18,04/11/2019,14:18:07,B,Servicio con demora por factores clim�ticos.,202
2/11/2019 20:40,02/11/2019,20:40:07,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,16
2/11/2019 20:38,02/11/2019,20:38:13,B,Servicio con demora por una formaci�n detenida debido a una causa t�cnica.,00
31/10/2019 13:58,31/10/2019,13:58:06,B,Servicio con demora debido a la atenci�n m�dica a un usuario a bordo de formaci�n,08
31/10/2019 12:06,31/10/2019,12:06:03,B,Servicio con demora debido a la atenci�n m�dica a un usuario.,12
31/10/2019 11:44,31/10/2019,11:44:03,B,Servicio con demora por una formaci�n detenida debido a una causa t�cnica.,06
29/10/2019 09:46,29/10/2019,09:46:07,B,Servicio con demora,06
29/10/2019 08:42,29/10/2019,08:42:05,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Dorrego,60
28/10/2019 00:28,28/10/2019,00:28:03,B,Los trenes no se detienen en la estaci�n Dorrego,88
25/10/2019 21:24,25/10/2019,21:24:03,B,Servicio limitado entre las estaciones Alem - Gallardo y Lacroze - Rosas,29
25/10/2019 21:12,25/10/2019,21:12:06,B,Servicio limitado entre las estaciones Alem - Galardo y Lacroze - Rosas,09
25/10/2019 20:24,25/10/2019,20:24:07,B,Servicio limitado entre las estaciones Leandro N. Alem y Angel Gallardo,45
23/10/2019 20:54,23/10/2019,20:54:05,B,Servicio con demora debido a una causa t�cnica.,27
22/10/2019 18:36,22/10/2019,18:36:03,B,Servicio con demora,10
22/10/2019 18:24,22/10/2019,18:24:12,B,Servicio limitado: Alem - A. Gallardo Dorrego - J.M. Rosas,06
22/10/2019 18:02,22/10/2019,18:02:02,B,Servicio limitado entre las estaciones Alem - Gallardo y Dorrego-Rosas,20
22/10/2019 18:00,22/10/2019,18:00:02,B,Servicio con demora debido a la atenci�n m�dica a un usuario a bordo de formaci�n,00
