FECHA,HORA,L蚇EA,MOTIVO,DURACION
30/4/2019,08:42:09,A,Servicio interrumpido por medida de fuerza gremial,42:11:53
29/5/2019,08:26:11,A,Servicio interrumpido por medida de fuerza gremial,20:31:52
19/12/2019,15:16:02,A,Los trenes no se detienen en la estacion Congreso,12:00:07
24/3/2019,14:40:03,A,Servicio limitado entre Peru y San Pedrito,10:52:01
20/12/2019,08:30:05,A,Los trenes no se detienen en la estacion Congreso,05:47:59
10/12/2019,12:16:04,A,Los trenes no se detienen en la estacion Congreso,05:13:59
19/1/2019,09:52:02,A,Servicio limitado entre Plaza Miserere y San Pedrito,04:54:06
1/3/2019,11:44:06,A,Servicio limitado entre Plaza Miserere y San Pedrito,04:39:56
15/8/2019,20:48:13,A,Servicio limitado entre San Pedrito y Plaza Miserere,04:17:56
6/9/2019,16:12:02,A,Servicio interrumpido por medida de fuerza gremial,03:50:01
25/5/2019,10:58:04,A,Servicio limitado entre Peru y San Pedrito,03:37:57
12/9/2019,15:52:03,A,Los trenes no se detienen en la estacion Congreso,03:20:07
16/6/2019,15:44:10,A,Interrumpida por falta de suministro de energia electrica,03:13:59
24/9/2019,18:52:02,A,Los trenes no se detienen en la estacion Congreso,03:08:05
20/11/2019,08:32:05,A,Servicio interrumpido por medida de fuerza gremial,02:58:19
11/4/2019,14:08:12,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,02:56:01
29/8/2019,00:10:13,A,Servicio interrumpido por medida de fuerza gremial,02:37:52
1/3/2019,08:36:04,A,Servicio limitado entre Plaza Miserere y San Pedrito,02:34:02
24/3/2019,11:58:03,A,Servicio limitado entre Peru y San Pedrito,02:32:12
24/9/2019,22:02:10,A,Los trenes no se detienen en la estacion Congreso,02:31:54
25/8/2019,23:40:02,A,Servicio interrumpido,02:16:00
17/9/2019,11:20:05,A,Servicio con demora debido a un problema tecnico,02:02:05
22/8/2019,01:02:02,A,Interrumpida por medida de fuerza gremial,01:54:00
14/8/2019,08:40:05,A,Servicio interrumpido por medida de fuerza gremial,01:50:13
10/1/2019,21:24:02,A,Los trenes no se detienen en la estacion Congreso,01:46:05
4/12/2019,10:52:09,A,Servicio limitado entre Plaza de Mayo y Loria,01:37:53
25/10/2019,19:10:12,A,Los trenes no se detienen en la estacion Primera Junta,01:35:50
5/7/2019,19:00:13,A,Servicio con demora,01:25:49
8/9/2019,12:30:13,A,Los trenes no se detienen en la estacion Lima,01:17:55
24/8/2019,13:46:02,A,Servicio limitado entre Acoyte y Plaza de Mayo,01:14:12
14/2/2019,10:24:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,01:06:05
1/2/2019,19:44:07,A,Servicio limitado entre Peru y San Pedrito,01:05:56
3/2/2019,13:02:02,A,Servicio limitado entre Lima y San Pedrito,01:04:00
13/1/2019,19:20:04,A,Servicio limitado entre Plaza de Mayo y Loria,01:02:00
12/6/2019,12:32:10,A,Servicio con demora debido a un problema tecnico,00:57:56
23/8/2019,20:44:04,A,Servicio con demora debido a un problema tecnico,00:54:06
5/7/2019,18:06:02,A,Servicio con demora debido a un problema tecnico,00:52:00
28/3/2019,09:02:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:48:06
31/7/2019,21:58:02,A,Servicio con demora debido a un problema tecnico,00:48:05
10/1/2019,23:12:07,A,Los trenes no se detienen en la estacion Congreso,00:47:56
30/10/2019,19:28:14,A,Servicio con demora debido a un problema tecnico,00:43:49
17/6/2019,19:38:03,A,Los trenes no se detienen en Rio de Janeiro,00:42:04
14/8/2019,01:46:11,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:42:01
17/10/2019,22:54:03,A,Servicio limitado entre Plaza Miserere y San Pedrito,00:40:08
7/6/2019,17:42:08,A,Servicio con demora debido a un problema tecnico,00:39:57
1/7/2019,11:16:10,A,Servicio con demora debido a un problema tecnico,00:39:52
6/12/2019,09:48:09,A,Servicio limitado entre Plaza de Mayo y Loria,00:38:00
8/2/2019,08:38:02,A,Interrumpida por falta de suministro de energia electrica,00:36:00
26/3/2019,15:28:11,A,Servicio con demora debido a un problema tecnico,00:35:52
27/11/2019,17:56:04,A,Servicio con demora debido a un problema tecnico,00:34:14
5/2/2019,17:34:02,A,Los trenes no se detienen en la estacion Loria,00:32:07
9/11/2019,21:12:09,A,Servicio con demora debido a la atencion medica a un usuario,00:32:06
6/11/2019,21:02:03,A,Los trenes no se detienen en la estacion Puan,00:30:10
11/1/2019,00:02:02,A,Los trenes no se detienen en la estacion Congreso,00:30:00
24/10/2019,15:32:03,A,Servicio con demora debido a un problema tecnico,00:28:04
11/4/2019,13:38:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:27:59
27/11/2019,13:20:19,A,Servicio con demora debido a un problema tecnico,00:27:46
27/3/2019,17:08:02,A,Servicio con demora debido a un problema tecnico,00:26:08
18/11/2019,11:20:17,A,Servicio interrumpido,00:25:57
3/11/2019,19:58:02,A,Servicio limitado entre Plaza de Mayo y Loria,00:24:12
21/8/2019,08:38:01,A,Servicio interrumpido,00:24:04
2/7/2019,17:36:10,A,Servicio con demora,00:24:03
29/8/2019,23:02:08,A,Servicio con demora debido a un problema tecnico,00:24:01
30/10/2019,11:04:02,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:24:01
30/10/2019,11:38:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:24:00
8/5/2019,20:14:04,A,Servicio con demora,00:23:58
26/10/2019,15:06:03,A,Servicio con demora,00:22:08
22/1/2019,21:42:03,A,Servicio con demora debido a la atencion medica a un usuario,00:22:05
5/5/2019,17:16:09,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:22:01
8/11/2019,13:02:08,A,Servicio con demora debido a la atencion medica a un usuario,00:21:55
17/1/2019,00:46:03,A,Servicio limitado entre Acoyte y Plaza Miserere,00:20:01
4/9/2019,02:04:08,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:19:56
