orden;Fecha;Linea;Mensaje;Duración
1;28.11.2020 09:02:02;A;Servicio limitado Lima y San Pedrito Por obras de mejora;08:46:00
2;28.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00
3;28.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00
4;28.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00
5;28.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00
6;28.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00
7;27.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01
8;27.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01
9;27.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01
10;27.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01
11;27.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01
12;27.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01
13;27.11.2020 01:32:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:22:00
14;27.11.2020 01:32:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:22:00
15;27.11.2020 01:32:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:22:00
16;26.11.2020 23:48:01;P;Reanuda su servicio y realiza el recorrido completo entre cabeceras;00:02:00
17;26.11.2020 21:30:02;P;Servicio interrumpido;02:16:00
18;26.11.2020 14:06:03;A;Servicio limitado Lima y San Pedrito por operativo de seguridad en la vía pública.;11:23:59
19;26.11.2020 11:24:02;E;Los trenes no se detienen en Bolívar por operativo de seguridad en la vía pública;14:06:00
20;26.11.2020 10:22:01;E;Los trenes no se detienen en la estación Bolivar;01:00:01
21;26.11.2020 09:04:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:59
